"","ActualAgeBefore","ActualAge","mean05","sd05","mean50","sd50","mean95","sd95"
"52",0.05,0.07,0.0682474,0.00128468490945559,0.07006695,0.00129666181280391,0.071914,0.001337671418593
"53",0.05,0.08,0.07805905,0.00136032644526542,0.07998315,0.00137199029308578,0.08192995,0.00141079061105509
"54",0.05,0.09,0.0878689,0.00141171223952907,0.0898849,0.00138458635950766,0.0919233,0.00138761793287569
"55",0.05,0.1,0.09786335,0.00161636333466465,0.09996555,0.00161249633165412,0.1020885,0.00163599884200915
"56",0.06,0,0,0,6e-05,0,9e-05,3.00752824270251e-05
"57",0.06,0.01,0.00931335,0.000459149615426969,0.01003755,0.000470008550654605,0.01079715,0.000493590452881617
"58",0.06,0.02,0.01896135,0.000640490293902191,0.01997955,0.000645633417699433,0.02102935,0.000664171435685019
"59",0.06,0.03,0.0287418,0.000818823006258306,0.0299817,0.000826675919194992,0.03125325,0.000854923627903533
"60",0.06,0.04,0.0385694,0.000866561761464329,0.0399858,0.000868014751049889,0.0414353,0.000894438938707041
"61",0.06,0.05,0.04829455,0.00104452330860113,0.0498613,0.00102493647799246,0.05146055,0.00102534229975082
"62",0.06,0.06,0.05825555,0.00120554943686421,0.05995825,0.0011916921112182,0.06168815,0.00120490791887381
"63",0.06,0.07,0.06804605,0.00147247779329904,0.06986315,0.00147030628795568,0.0717076,0.00149019415955299
"64",0.06,0.08,0.07825975,0.00140915008330782,0.0801859,0.00141589511791115,0.08213495,0.00144816883073472
"65",0.06,0.09,0.0880848,0.00160349898815843,0.0901014,0.00159918165001626,0.0921436,0.00162153721966962
"66",0.06,0.1,0.0979622,0.00167243786192793,0.10006335,0.00168461864449701,0.1021876,0.00172587789619162
"67",0.07,0,0,0,6e-05,0,9e-05,3.00752824270251e-05
"68",0.07,0.01,0.0093287,0.000439928397554505,0.01005175,0.000445887334508816,0.01081025,0.000464452384629404
"69",0.07,0.02,0.018985,0.000622597089359075,0.02000535,0.000645850207052493,0.0210566,0.000683766864967981
"70",0.07,0.03,0.0286795,0.000809726518755487,0.029917,0.000810439424202394,0.03118755,0.000830691119599159
"71",0.07,0.04,0.0386043,0.000989325697979901,0.0400222,0.000985743685277936,0.0414708,0.0010045911491171
"72",0.07,0.05,0.0484266,0.00100997011747425,0.04999605,0.00102047820965561,0.0515968,0.00105546282210423
"73",0.07,0.06,0.05837625,0.00111427441632408,0.0600797,0.00114173407300796,0.06181105,0.00119482990000659
"74",0.07,0.07,0.0682987,0.00131253497105839,0.07011995,0.00132311399764108,0.07196795,0.00135809143996142
"75",0.07,0.08,0.07820995,0.00139890283551649,0.08013605,0.00139993104550217,0.08208515,0.00142749489874032
"76",0.07,0.09,0.0879455,0.00154652820778912,0.08996115,0.00153280515254823,0.09200045,0.00154408851566907
"77",0.07,0.1,0.09806855,0.00177373279771459,0.1001727,0.00177497532292281,0.10229675,0.00180213662622954
"78",0.08,0,0,0,6e-05,0,9e-05,3.00752824270251e-05
"79",0.08,0.01,0.00929995,0.000475870529983243,0.0100244,0.000478799419822237,0.01078285,0.000488209092592971
"80",0.08,0.02,0.01900485,0.000640395588718607,0.0200253,0.000647024818363167,0.0210767,0.000667459828840341
"81",0.08,0.03,0.0287658,0.000724628034887365,0.03000445,0.000748135167361631,0.03127605,0.000797015726218245
"82",0.08,0.04,0.0385707,0.000911279133027558,0.03998805,0.00091291057948227,0.0414378,0.000937814287687576
"83",0.08,0.05,0.04841125,0.00108740617916787,0.0499796,0.0010850203619885,0.05158145,0.00110239820688019
"84",0.08,0.06,0.0583202,0.00122440631085859,0.06002385,0.00125352194389213,0.06175385,0.00130586988566681
"85",0.08,0.07,0.06799915,0.00131528691770252,0.06981715,0.00132636669914583,0.07166195,0.00136284755744145
"86",0.08,0.08,0.07810275,0.00140428559333142,0.0800266,0.00140359425195482,0.0819746,0.00142815333551714
"87",0.08,0.09,0.08815305,0.00151613108431432,0.09017035,0.00152378970096395,0.09221205,0.00155520629842258
"88",0.08,0.1,0.0977307,0.00156657566256235,0.09983095,0.00153743786000177,0.10195305,0.0015361922505511
"89",0.09,0,0,0,6e-05,0,9e-05,3.00752824270251e-05
"90",0.09,0.01,0.00928275,0.000434587469727581,0.0100081,0.000452981624085121,0.010765,0.000484983551500595
"91",0.09,0.02,0.01904155,0.00063676088102049,0.0200638,0.000651094602115947,0.0211144,0.000679750648932105
"92",0.09,0.03,0.02874415,0.000831425655487618,0.02998325,0.000846567374221023,0.03125515,0.000878996674206639
"93",0.09,0.04,0.03873495,0.000878253175743485,0.04015455,0.000898021721654223,0.04160595,0.000940202639069133
"94",0.09,0.05,0.04856705,0.00110064841441798,0.05013935,0.00111171969529397,0.0517429,0.0011441165163632
"95",0.09,0.06,0.0583119,0.00125993155672766,0.06001435,0.00127228579067984,0.06174575,0.00131146833107669
"96",0.09,0.07,0.0682364,0.00130682977479912,0.070056,0.00131886543291981,0.07190305,0.00135757402511552
"97",0.09,0.08,0.07799125,0.00147229555746892,0.0799153,0.00148383413110874,0.08186225,0.0015221092339581
"98",0.09,0.09,0.0879651,0.00153270050702057,0.08998075,0.00153072713614368,0.09202135,0.00155488876543125
"99",0.09,0.1,0.09780875,0.00154253786104712,0.09991065,0.00154728716317516,0.1020328,0.00158131335275397
"100",0.1,0,0,0,6e-05,0,9e-05,3.00752824270251e-05
"101",0.1,0.01,0.0093044,0.000489504559292188,0.01002725,0.000499794869981977,0.0107876,0.000521947686013334
"102",0.1,0.02,0.01904275,0.000612131080569346,0.0200647,0.000626984415505228,0.02111615,0.000657602373710396
"103",0.1,0.03,0.0287391,0.000763768881614467,0.02997855,0.000746734531007503,0.0312499,0.000748588615043579
"104",0.1,0.04,0.038551,0.000917718933116782,0.03996735,0.000910390317474189,0.0414169,0.000923074059105208
"105",0.1,0.05,0.04834315,0.00107957258316037,0.04990975,0.0010903954552105,0.0515115,0.00112363809245418
"106",0.1,0.06,0.05834015,0.0011869793923609,0.06004225,0.00119030735336609,0.06177525,0.00122024996924285
"107",0.1,0.07,0.0681473,0.00130363377337172,0.0699668,0.00128866639023707,0.071812,0.00129717977816663
"108",0.1,0.08,0.07817935,0.00145340946496998,0.0801044,0.0014611507270765,0.0820538,0.00149663661782984
"109",0.1,0.09,0.0880183,0.00146566742990195,0.09003455,0.0014699248938185,0.0920753,0.00150328849242495
"110",0.1,0.1,0.09808835,0.00161882635614719,0.10019145,0.00160597608745191,0.10231545,0.00162066082356091
